Skårman Carl-Erik
Nilsson Pia
Ytterberg Mariann
Vallius Paavo
Johansson Jörgen
Thorborg Karin
Lindström Torsten
Granström Per Erik
Hietala Nordlund Barbro
Gunnarsson Rolf
Fremling Lennart
Johansson Kenneth
Lindholm Jan
Ulvskog Marita
Kvarnström Kurt
Wiklund Anders
Lindgren Ulrik
Särnblad Anneli
Bohlin Sinikka
Norinder Patrik
Högström Kenth
Hellberg Owe
Bergström Sven
Pärssinen Raimo
Svensson Per-Olof
Marcelind Ragnwi
Hedström Lotta
Lindestam Åsa
Backman Hans
Stenberg Hans
Lundberg Agneta
Eberstein Susanne
Kristiansson Karlstedt Kerstin
Norlander Göran
Sellén Birgitta
Wahlén Gunilla
Lindén Lars
Hellquist Solveig
Kjellberg Bertil
Sandberg Gunnar
Berglund Rune
Nordén Marie
Sundell Ola
Sköld Jansson Camilla
Larsson Håkan
Lundberg Carin
Rådström Britta
Lilja Lars
Gustavsson Lennart
Ångström Yvonne
Abramsson Karl Gustav
Tjernberg Gunilla
Löfgren Ulla
Saarinen Ingegerd
Wibe Sören
Olofsson Maud
Klockare Lennart
Zakrisson Kristina
Ahlqvist Birgitta
Holma Siv
Eriksson Peter
Wälivaara Erling
Åström Karin
Gidblom Birgitta
Öberg Maria
Hammarbergh Krister
Grönlund Krantz Anna
